filename,l_min,l_max,b_min,b_max
GaiaSource_459312-459323_p.csv.gz,352.995,354.532,-5.295,-3.758
GaiaSource_459324-459334_p.csv.gz,353.139,355.421,-6.266,-3.814
GaiaSource_459335-459345_p.csv.gz,353.893,355.565,-6.328,-4.548
GaiaSource_459346-459356_p.csv.gz,354.66,356.027,-6.302,-4.859
GaiaSource_459357-459366_p.csv.gz,354.071,356.203,-6.146,-3.931
GaiaSource_459367-459376_p.csv.gz,354.246,355.846,-5.347,-3.684
GaiaSource_459377-459387_p.csv.gz,355.01,356.38,-5.445,-3.993
GaiaSource_459388-459401_p.csv.gz,352.483,356.548,-6.023,-1.948
GaiaSource_459402-459414_p.csv.gz,352.885,354.717,-4.525,-2.497
GaiaSource_459415-459427_p.csv.gz,352.893,355.113,-4.309,-1.965
GaiaSource_459428-459440_p.csv.gz,353.052,354.665,-3.39,-1.719
GaiaSource_459441-459452_p.csv.gz,353.825,355.202,-3.469,-2.015
GaiaSource_459453-459463_p.csv.gz,353.821,356.108,-4.543,-2.07
GaiaSource_459464-459474_p.csv.gz,354.582,356.257,-4.608,-2.813
GaiaSource_459475-459486_p.csv.gz,355.504,356.872,-4.491,-3.032
GaiaSource_459487-459497_p.csv.gz,354.668,356.805,-4.3,-2.064
GaiaSource_459498-459509_p.csv.gz,355.058,356.883,-3.899,-1.846
GaiaSource_459510-459521_p.csv.gz,354.27,358.378,-6.281,-2.073
GaiaSource_459522-459531_p.csv.gz,355.586,356.948,-6.442,-4.995
GaiaSource_459532-459542_p.csv.gz,356.208,357.709,-6.683,-4.98
GaiaSource_459543-459553_p.csv.gz,355.994,358.112,-6.556,-4.332
GaiaSource_459554-459563_p.csv.gz,355.935,357.297,-5.585,-4.132
GaiaSource_459564-459574_p.csv.gz,356.552,358.056,-5.827,-4.115
GaiaSource_459575-459585_p.csv.gz,356.697,358.953,-6.591,-4.106
GaiaSource_459586-459596_p.csv.gz,357.43,358.782,-6.76,-5.307
GaiaSource_459597-459607_p.csv.gz,358.046,359.692,-7.021,-5.221
GaiaSource_459608-459618_p.csv.gz,357.758,359.863,-6.763,-4.53
GaiaSource_459619-459629_p.csv.gz,357.926,359.28,-5.82,-4.356
GaiaSource_459630-459640_p.csv.gz,0.032,359.307,-6.166,-4.357
GaiaSource_459641-459651_p.csv.gz,0.195,358.713,-6.59,-2.626
GaiaSource_459652-459663_p.csv.gz,356.424,357.939,-4.634,-3.084
GaiaSource_459664-459674_p.csv.gz,357.029,358.544,-4.965,-3.414
GaiaSource_459675-459686_p.csv.gz,356.582,358.703,-4.71,-2.468
GaiaSource_459687-459698_p.csv.gz,356.74,358.406,-4.022,-2.211
GaiaSource_459699-459709_p.csv.gz,357.653,359.012,-3.925,-2.455
GaiaSource_459710-459720_p.csv.gz,357.499,359.757,-5.13,-2.626
GaiaSource_459721-459732_p.csv.gz,358.405,359.977,-5.261,-3.403
GaiaSource_459733-459744_p.csv.gz,0.663,359.694,-5.307,-2.924
GaiaSource_459745-459755_p.csv.gz,358.411,359.768,-4.182,-2.707
GaiaSource_459756-459766_p.csv.gz,0.52,359.769,-4.444,-2.706
GaiaSource_459767-459779_p.csv.gz,0.369,357.986,-10.33,-2.71
GaiaSource_459780-459800_p.csv.gz,0.025,359.238,-10.942,-8.75
GaiaSource_459801-459817_p.csv.gz,0.224,359.36,-10.525,-8.196
GaiaSource_459818-459833_p.csv.gz,0.418,359.614,-10.025,-7.9
GaiaSource_459834-459853_p.csv.gz,0.205,359.956,-10.995,-8.263
GaiaSource_459854-459874_p.csv.gz,0.873,359.966,-11.214,-8.737
GaiaSource_459875-459892_p.csv.gz,0.155,1.849,-10.398,-8.47
GaiaSource_459893-459908_p.csv.gz,1.051,359.956,-10.996,-6.821
GaiaSource_459909-459921_p.csv.gz,0.339,359.655,-9.006,-7.213
GaiaSource_459922-459934_p.csv.gz,0.409,359.995,-9.026,-7.493
GaiaSource_459935-459946_p.csv.gz,0.005,359.633,-8.712,-6.357
GaiaSource_459947-459958_p.csv.gz,0.207,359.451,-8.259,-6.407
GaiaSource_459959-459971_p.csv.gz,0.612,359.661,-9.049,-6.556
GaiaSource_459972-459986_p.csv.gz,0.526,2.154,-9.423,-7.619
GaiaSource_459987-460000_p.csv.gz,0.776,2.923,-9.535,-7.166
GaiaSource_460001-460012_p.csv.gz,0.727,2.059,-8.387,-6.926
GaiaSource_460013-460024_p.csv.gz,1.335,2.962,-8.687,-6.873
GaiaSource_460025-460041_p.csv.gz,0.21,4.357,-11.443,-6.984
GaiaSource_460042-460064_p.csv.gz,1.695,3.984,-11.757,-9.328
GaiaSource_460065-460082_p.csv.gz,1.817,3.593,-10.8,-8.922
GaiaSource_460083-460104_p.csv.gz,2.562,4.885,-11.933,-9.16
GaiaSource_460105-460129_p.csv.gz,3.504,5.785,-12.265,-9.821
GaiaSource_460130-460150_p.csv.gz,3.623,5.68,-11.57,-9.331
GaiaSource_460151-460168_p.csv.gz,2.093,6.083,-11.798,-7.59
GaiaSource_460169-460183_p.csv.gz,2.496,4.406,-10.079,-7.913
GaiaSource_460184-460197_p.csv.gz,2.516,4.581,-9.731,-7.488
GaiaSource_460198-460210_p.csv.gz,2.688,4.308,-9.036,-7.214
GaiaSource_460211-460223_p.csv.gz,3.586,5.063,-9.004,-7.451
GaiaSource_460224-460241_p.csv.gz,3.825,5.746,-10.527,-8.555
GaiaSource_460242-460258_p.csv.gz,4.311,6.503,-10.509,-7.976
GaiaSource_460259-460272_p.csv.gz,4.483,6.023,-9.39,-7.699
GaiaSource_460273-460287_p.csv.gz,5.221,6.844,-9.584,-7.953
GaiaSource_460288-460298_p.csv.gz,0.032,359.656,-7.208,-5.667
GaiaSource_460299-460309_p.csv.gz,0.568,359.796,-7.407,-5.547
GaiaSource_460310-460320_p.csv.gz,0.5,359.656,-7.275,-5.033
GaiaSource_460321-460331_p.csv.gz,0.164,359.593,-6.27,-4.803
GaiaSource_460332-460342_p.csv.gz,0.199,1.685,-6.553,-4.816
GaiaSource_460343-460353_p.csv.gz,0.343,2.572,-7.351,-4.833
GaiaSource_460354-460364_p.csv.gz,1.07,2.406,-7.537,-6.067
GaiaSource_460365-460375_p.csv.gz,1.676,3.303,-7.835,-6.015
GaiaSource_460376-460386_p.csv.gz,1.393,3.47,-7.566,-5.313
GaiaSource_460387-460397_p.csv.gz,1.554,2.889,-6.6,-5.124
GaiaSource_460398-460408_p.csv.gz,2.004,3.635,-6.981,-5.15
GaiaSource_460409-460419_p.csv.gz,1.335,359.909,-7.351,-3.366
GaiaSource_460420-460430_p.csv.gz,0.067,1.412,-5.328,-3.853
GaiaSource_460431-460441_p.csv.gz,0.593,2.161,-5.694,-3.999
GaiaSource_460442-460452_p.csv.gz,0.221,2.316,-5.427,-3.165
GaiaSource_460453-460463_p.csv.gz,0.375,1.873,-4.464,-2.898
GaiaSource_460464-460474_p.csv.gz,0.976,2.469,-4.831,-3.265
GaiaSource_460475-460484_p.csv.gz,1.051,3.286,-5.768,-3.231
GaiaSource_460485-460495_p.csv.gz,1.87,3.358,-5.74,-4.175
GaiaSource_460496-460506_p.csv.gz,2.467,3.952,-6.12,-4.555
GaiaSource_460507-460517_p.csv.gz,2.024,4.104,-5.849,-3.578
GaiaSource_460518-460527_p.csv.gz,2.175,3.588,-4.741,-3.306
GaiaSource_460528-460538_p.csv.gz,2.772,4.257,-5.258,-3.686
GaiaSource_460539-460549_p.csv.gz,1.641,5.721,-8.064,-3.66
GaiaSource_460550-460560_p.csv.gz,3.024,4.577,-8.047,-6.352
GaiaSource_460561-460571_p.csv.gz,3.768,5.092,-8.225,-6.745
GaiaSource_460572-460582_p.csv.gz,3.188,5.257,-8.031,-5.764
GaiaSource_460583-460593_p.csv.gz,3.35,4.972,-7.326,-5.489
GaiaSource_460594-460604_p.csv.gz,4.093,5.418,-7.37,-5.883
GaiaSource_460605-460616_p.csv.gz,4.085,6.287,-8.55,-6.005
GaiaSource_460617-460629_p.csv.gz,4.967,6.719,-8.88,-6.762
GaiaSource_460630-460641_p.csv.gz,5.048,7.104,-8.668,-6.394
GaiaSource_460642-460652_p.csv.gz,4.984,6.306,-7.617,-6.126
GaiaSource_460653-460664_p.csv.gz,5.581,7.192,-7.949,-6.1
GaiaSource_460665-460675_p.csv.gz,3.507,7.348,-8.272,-4.268
GaiaSource_460676-460686_p.csv.gz,3.662,4.994,-6.193,-4.701
GaiaSource_460687-460697_p.csv.gz,4.181,5.731,-6.587,-4.878
GaiaSource_460698-460708_p.csv.gz,3.814,5.884,-6.31,-4.029
GaiaSource_460709-460719_p.csv.gz,3.964,5.443,-5.328,-3.753
GaiaSource_460720-460730_p.csv.gz,4.558,6.034,-5.722,-4.147
GaiaSource_460731-460740_p.csv.gz,4.633,6.843,-6.694,-4.13
GaiaSource_460741-460751_p.csv.gz,5.444,6.915,-6.681,-5.107
GaiaSource_460752-460762_p.csv.gz,6.035,7.5,-7.09,-5.516
GaiaSource_460763-460773_p.csv.gz,5.593,7.654,-6.81,-4.517
GaiaSource_460774-460784_p.csv.gz,5.741,7.287,-5.956,-4.235
GaiaSource_460785-460795_p.csv.gz,6.481,7.802,-6.15,-4.644
GaiaSource_460796-460809_p.csv.gz,2.451,357.986,-10.331,4.217
GaiaSource_460810-460823_p.csv.gz,353.517,355.516,-2.79,-0.645
GaiaSource_460824-460841_p.csv.gz,353.441,355.665,-2.446,-0.084
GaiaSource_460842-460864_p.csv.gz,353.818,356.501,-2.53,0.427
GaiaSource_460865-460879_p.csv.gz,355.057,356.734,-2.714,-1.064
GaiaSource_460880-460899_p.csv.gz,355.359,357.648,-2.937,-0.436
GaiaSource_460900-460941_p.csv.gz,353.652,357.932,-2.802,1.692
GaiaSource_460942-460995_p.csv.gz,353.92,357.147,-1.187,2.198
GaiaSource_071196-073887_p.csv.gz,191.77,231.484,21.032,56.462
GaiaSource_199494-199774_p.csv.gz,52.963,63.843,-25.246,-13.446
GaiaSource_199775-200211_p.csv.gz,56.808,67.769,-26.728,-15.972
GaiaSource_200212-200517_p.csv.gz,57.188,65.485,-22.877,-14.312
GaiaSource_201152-202030_p.csv.gz,63.618,81.551,-37.014,-21.227
GaiaSource_202031-202882_p.csv.gz,64.554,86.331,-36.053,-16.61
GaiaSource_223088-223243_p.csv.gz,81.819,98.866,-18.007,-1.057
GaiaSource_460996-461057_p.csv.gz,355.162,359.593,-2.824,1.959
GaiaSource_461058-461084_p.csv.gz,356.896,359.166,-3.499,-1.155
GaiaSource_461085-461111_p.csv.gz,357.036,359.611,-2.976,-0.278
GaiaSource_461112-461127_p.csv.gz,0.368,359.165,-3.399,-0.617
GaiaSource_461128-461139_p.csv.gz,0.522,359.755,-3.488,-1.658
GaiaSource_461140-461150_p.csv.gz,0.374,359.767,-3.405,-1.922
GaiaSource_461151-461161_p.csv.gz,0.11,359.847,-3.182,-0.914
GaiaSource_461162-461172_p.csv.gz,0.032,359.298,-2.66,-0.782
GaiaSource_461173-461183_p.csv.gz,0.053,1.557,-2.535,-0.96
GaiaSource_461184-461253_p.csv.gz,0.926,359.314,-2.361,1.666
GaiaSource_461254-461275_p.csv.gz,0.365,359.428,-2.004,0.271
GaiaSource_461276-461325_p.csv.gz,2.25,358.746,-3.333,5.004
GaiaSource_461326-461348_p.csv.gz,354.596,356.919,0.82,3.334
GaiaSource_461349-461373_p.csv.gz,354.715,357.021,1.513,3.882
GaiaSource_461374-461389_p.csv.gz,355.512,357.833,0.702,3.227
GaiaSource_461390-461403_p.csv.gz,356.759,358.449,0.571,2.404
GaiaSource_461404-461416_p.csv.gz,356.343,358.575,0.825,3.231
GaiaSource_461417-461429_p.csv.gz,356.691,358.553,1.361,3.451
GaiaSource_461430-461447_p.csv.gz,354.832,358.9,0.83,5.012
GaiaSource_461448-461462_p.csv.gz,354.945,356.973,2.4,4.582
GaiaSource_461463-461475_p.csv.gz,355.057,357.315,2.72,5.127
GaiaSource_461476-461487_p.csv.gz,355.162,356.708,3.791,5.378
GaiaSource_461488-461499_p.csv.gz,355.799,357.339,3.485,5.071
GaiaSource_461500-461512_p.csv.gz,355.973,358.309,2.473,5.013
GaiaSource_461513-461524_p.csv.gz,356.919,358.566,2.374,4.25
GaiaSource_461525-461537_p.csv.gz,356.974,359.218,2.339,4.759
GaiaSource_461538-461553_p.csv.gz,356.856,358.706,3.203,5.143
GaiaSource_461554-461567_p.csv.gz,357.768,359.439,3.323,5.007
GaiaSource_461568-461582_p.csv.gz,357.838,359.501,0.427,2.098
GaiaSource_461583-461601_p.csv.gz,0.544,359.471,0.273,2.685
GaiaSource_461602-461616_p.csv.gz,358.225,359.973,1.271,3.078
GaiaSource_461617-461632_p.csv.gz,0.062,359.0,0.507,2.918
GaiaSource_461633-461658_p.csv.gz,0.756,359.794,-0.33,2.041
GaiaSource_461659-461672_p.csv.gz,1.036,359.977,0.19,2.617
GaiaSource_461673-461687_p.csv.gz,0.32,2.306,0.717,2.93
GaiaSource_461688-461701_p.csv.gz,0.136,358.484,0.365,4.436
GaiaSource_461702-461715_p.csv.gz,0.292,359.442,2.115,3.968
GaiaSource_461716-461730_p.csv.gz,1.025,359.893,2.037,4.598
GaiaSource_461731-461755_p.csv.gz,0.965,359.931,2.743,5.044
GaiaSource_461756-461775_p.csv.gz,0.736,359.62,1.868,4.431
GaiaSource_461776-461792_p.csv.gz,0.605,2.821,1.689,4.131
GaiaSource_461793-461823_p.csv.gz,0.491,3.046,2.311,4.888
GaiaSource_461824-461834_p.csv.gz,0.372,1.869,-3.764,-2.196
GaiaSource_461835-461844_p.csv.gz,1.044,2.395,-3.829,-2.158
GaiaSource_461845-461855_p.csv.gz,1.57,3.064,-3.798,-2.224
GaiaSource_461856-461866_p.csv.gz,0.658,2.156,-2.895,-1.321
GaiaSource_461867-461877_p.csv.gz,1.326,2.905,-3.094,-1.198
GaiaSource_461878-461888_p.csv.gz,1.559,3.729,-3.767,-1.348
GaiaSource_461889-461899_p.csv.gz,2.319,3.66,-4.09,-2.599
GaiaSource_461900-461910_p.csv.gz,2.915,4.405,-4.392,-2.623
GaiaSource_461911-461921_p.csv.gz,2.686,4.771,-4.254,-1.967
GaiaSource_461922-461932_p.csv.gz,2.602,3.946,-3.22,-1.723
GaiaSource_461933-461943_p.csv.gz,3.196,4.836,-3.522,-1.666
GaiaSource_461944-461955_p.csv.gz,1.093,4.974,-3.902,0.14
GaiaSource_461956-461972_p.csv.gz,1.228,2.961,-2.254,-0.272
GaiaSource_461973-462015_p.csv.gz,1.204,4.196,-2.219,0.949
GaiaSource_462016-462031_p.csv.gz,2.729,4.507,-2.429,-0.68
GaiaSource_462032-462055_p.csv.gz,3.149,5.398,-2.649,-0.071
GaiaSource_462056-462083_p.csv.gz,2.415,6.744,-4.345,0.533
GaiaSource_462084-462094_p.csv.gz,4.253,5.587,-4.461,-2.96
GaiaSource_462095-462105_p.csv.gz,4.775,6.327,-4.857,-3.136
GaiaSource_462106-462116_p.csv.gz,4.394,6.467,-4.578,-2.281
GaiaSource_462117-462127_p.csv.gz,4.532,6.013,-3.59,-2.004
GaiaSource_462128-462139_p.csv.gz,5.13,6.608,-3.988,-2.401
GaiaSource_462140-462151_p.csv.gz,5.284,7.501,-5.103,-2.523
GaiaSource_462152-462162_p.csv.gz,6.03,7.651,-5.229,-3.365
GaiaSource_462163-462172_p.csv.gz,6.915,8.091,-5.204,-3.774
GaiaSource_462173-462184_p.csv.gz,6.093,8.232,-5.076,-2.631
GaiaSource_462185-462197_p.csv.gz,6.452,8.227,-4.564,-2.41
GaiaSource_462198-462208_p.csv.gz,4.745,8.584,-4.965,-0.904
GaiaSource_462209-462224_p.csv.gz,4.658,6.353,-2.935,-1.131
GaiaSource_462225-462254_p.csv.gz,4.778,7.165,-3.112,-0.247
GaiaSource_462255-462285_p.csv.gz,5.584,8.046,-3.36,-0.344
GaiaSource_462286-462299_p.csv.gz,7.017,8.642,-3.614,-1.737
GaiaSource_462300-462321_p.csv.gz,6.549,8.773,-3.331,-0.729
GaiaSource_462322-462347_p.csv.gz,1.457,9.184,-4.615,3.529
GaiaSource_462348-462377_p.csv.gz,1.778,4.131,-0.464,2.246
GaiaSource_462378-462401_p.csv.gz,2.121,4.859,-0.483,2.725
GaiaSource_462402-462443_p.csv.gz,3.064,5.91,-1.141,1.97
GaiaSource_462444-462467_p.csv.gz,2.096,6.149,-0.672,3.684
GaiaSource_462468-462482_p.csv.gz,2.211,3.883,1.4,3.269
GaiaSource_462483-462496_p.csv.gz,2.406,4.61,1.299,3.753
GaiaSource_462497-462509_p.csv.gz,2.292,3.801,2.473,4.073
GaiaSource_462510-462521_p.csv.gz,2.883,4.557,2.185,4.059
GaiaSource_462522-462534_p.csv.gz,3.053,5.5,1.092,3.958
GaiaSource_462535-462547_p.csv.gz,4.003,5.665,0.982,2.859
GaiaSource_462548-462560_p.csv.gz,4.198,6.387,0.87,3.333
GaiaSource_462561-462571_p.csv.gz,4.086,5.447,2.061,3.58
GaiaSource_462572-462583_p.csv.gz,4.671,6.337,1.756,3.641
GaiaSource_462584-462612_p.csv.gz,3.722,8.159,-1.539,3.528
GaiaSource_462613-462653_p.csv.gz,5.272,8.096,-1.356,1.767
GaiaSource_462654-462702_p.csv.gz,6.322,9.436,-2.17,1.322
GaiaSource_462703-462731_p.csv.gz,5.504,9.676,-1.604,3.062
GaiaSource_462732-462754_p.csv.gz,5.896,8.153,0.409,3.019
GaiaSource_462755-462768_p.csv.gz,6.008,7.581,1.552,3.299
GaiaSource_462769-462784_p.csv.gz,6.622,8.791,0.589,3.062
GaiaSource_462785-462817_p.csv.gz,7.336,9.914,-0.33,2.39
GaiaSource_462818-462831_p.csv.gz,7.641,9.264,1.124,2.818
GaiaSource_462832-462858_p.csv.gz,0.377,15.08,-12.458,2.561
GaiaSource_462859-462887_p.csv.gz,5.393,7.571,-12.735,-10.21
GaiaSource_462888-462913_p.csv.gz,5.575,8.331,-12.876,-9.639
GaiaSource_462914-462954_p.csv.gz,6.581,9.348,-13.51,-10.485
GaiaSource_462955-462984_p.csv.gz,5.687,9.707,-13.018,-8.633
GaiaSource_462985-463007_p.csv.gz,6.081,8.281,-11.119,-8.782
GaiaSource_463008-463024_p.csv.gz,5.96,7.799,-10.062,-8.219
GaiaSource_463025-463048_p.csv.gz,6.851,9.164,-11.33,-8.491
GaiaSource_463049-463078_p.csv.gz,7.723,10.049,-11.683,-9.054
GaiaSource_463079-463105_p.csv.gz,7.124,11.341,-13.321,-8.479
GaiaSource_463106-463160_p.csv.gz,8.366,11.433,-14.109,-10.932
GaiaSource_463161-463223_p.csv.gz,9.715,13.2,-14.801,-10.958
GaiaSource_463224-463267_p.csv.gz,9.035,13.101,-13.926,-9.356
GaiaSource_463268-463307_p.csv.gz,9.806,12.688,-12.657,-9.067
GaiaSource_463308-463352_p.csv.gz,11.266,13.871,-12.837,-9.818
GaiaSource_463353-463371_p.csv.gz,6.292,13.752,-13.318,-5.585
GaiaSource_463372-463390_p.csv.gz,7.036,8.793,-9.344,-7.416
GaiaSource_463391-463403_p.csv.gz,6.611,8.73,-8.918,-6.493
GaiaSource_463404-463417_p.csv.gz,7.353,8.957,-8.484,-6.627
GaiaSource_463418-463434_p.csv.gz,7.499,9.822,-9.615,-6.761
GaiaSource_463435-463455_p.csv.gz,8.734,10.702,-9.91,-7.76
GaiaSource_463456-463471_p.csv.gz,8.38,10.135,-8.763,-7.04
GaiaSource_463472-463488_p.csv.gz,7.137,11.011,-9.623,-5.454
GaiaSource_463489-463500_p.csv.gz,7.067,8.385,-7.278,-5.775
GaiaSource_463501-463512_p.csv.gz,7.658,9.264,-7.623,-5.759
GaiaSource_463513-463524_p.csv.gz,7.365,9.411,-7.336,-5.039
GaiaSource_463525-463535_p.csv.gz,7.511,8.975,-6.338,-4.753
GaiaSource_463536-463548_p.csv.gz,8.1,9.56,-6.758,-5.175
GaiaSource_463549-463561_p.csv.gz,8.246,10.438,-7.904,-5.311
GaiaSource_463562-463575_p.csv.gz,9.127,11.019,-8.26,-6.027
GaiaSource_463576-463589_p.csv.gz,9.127,11.167,-7.899,-5.591
GaiaSource_463590-463602_p.csv.gz,9.272,10.876,-7.177,-5.3
GaiaSource_463603-463615_p.csv.gz,10.148,11.602,-7.178,-5.586
GaiaSource_463616-463646_p.csv.gz,9.828,12.307,-10.781,-8.274
GaiaSource_463647-463668_p.csv.gz,10.141,12.244,-10.065,-7.617
GaiaSource_463669-463701_p.csv.gz,11.016,13.76,-11.395,-7.846
GaiaSource_463702-463734_p.csv.gz,11.892,14.281,-10.977,-8.153
GaiaSource_463735-463755_p.csv.gz,10.442,14.432,-10.665,-6.177
GaiaSource_463756-463776_p.csv.gz,10.953,13.059,-8.779,-6.315
GaiaSource_463777-463791_p.csv.gz,10.879,12.476,-7.542,-5.877
GaiaSource_463792-463810_p.csv.gz,11.61,13.786,-8.79,-6.176
GaiaSource_463811-463839_p.csv.gz,12.484,14.8,-9.533,-7.071
GaiaSource_463840-463862_p.csv.gz,12.48,14.654,-8.806,-6.406
GaiaSource_463863-463919_p.csv.gz,9.83,17.668,-15.443,-6.789
GaiaSource_463920-464003_p.csv.gz,12.835,17.026,-16.113,-11.207
GaiaSource_464004-464058_p.csv.gz,12.725,15.617,-13.616,-10.453
GaiaSource_464059-464123_p.csv.gz,13.968,17.373,-14.41,-10.651
GaiaSource_464124-464225_p.csv.gz,14.592,19.937,-18.003,-11.61
GaiaSource_464226-464311_p.csv.gz,15.928,20.265,-16.901,-11.638
GaiaSource_464312-464390_p.csv.gz,13.479,21.161,-16.8,-8.38
GaiaSource_464391-464430_p.csv.gz,13.348,15.948,-11.9,-8.853
GaiaSource_464431-464477_p.csv.gz,14.443,17.546,-12.689,-8.817
GaiaSource_464478-464519_p.csv.gz,14.081,18.056,-12.244,-7.723
GaiaSource_464520-464548_p.csv.gz,14.08,16.538,-10.169,-7.399
GaiaSource_464549-464574_p.csv.gz,14.512,16.676,-9.3,-6.895
GaiaSource_464575-464611_p.csv.gz,15.314,18.272,-10.958,-7.596
GaiaSource_464612-464647_p.csv.gz,15.385,19.722,-12.761,-7.47
GaiaSource_464648-464704_p.csv.gz,16.833,20.085,-13.389,-9.894
GaiaSource_464705-464770_p.csv.gz,17.556,21.749,-14.059,-9.05
GaiaSource_464771-464814_p.csv.gz,17.408,20.004,-11.5,-8.41
GaiaSource_464815-464863_p.csv.gz,18.485,21.738,-12.32,-8.326
GaiaSource_464864-464898_p.csv.gz,7.653,22.007,-14.865,-0.017
GaiaSource_464899-464909_p.csv.gz,7.795,9.114,-5.468,-3.956
GaiaSource_464910-464920_p.csv.gz,8.236,9.848,-5.889,-4.013
GaiaSource_464921-464931_p.csv.gz,7.935,9.986,-5.603,-3.289
GaiaSource_464932-464942_p.csv.gz,8.07,9.394,-4.598,-3.079
GaiaSource_464943-464954_p.csv.gz,8.588,10.127,-5.02,-3.281
GaiaSource_464955-464966_p.csv.gz,8.739,11.01,-6.168,-3.419
GaiaSource_464967-464977_p.csv.gz,9.553,11.159,-6.31,-4.427
GaiaSource_464978-464989_p.csv.gz,10.285,11.741,-6.381,-4.785
GaiaSource_464990-465001_p.csv.gz,9.616,11.66,-6.02,-3.696
GaiaSource_465002-465013_p.csv.gz,9.971,11.727,-5.655,-3.478
GaiaSource_465014-465026_p.csv.gz,8.205,12.081,-6.024,-1.802
GaiaSource_465027-465038_p.csv.gz,8.337,9.661,-3.725,-2.202
GaiaSource_465039-465051_p.csv.gz,8.855,10.392,-4.145,-2.403
GaiaSource_465052-465064_p.csv.gz,8.389,10.524,-3.859,-1.388
GaiaSource_465065-465081_p.csv.gz,8.735,10.654,-3.345,-1.089
GaiaSource_465082-465096_p.csv.gz,9.191,11.55,-4.421,-1.515
GaiaSource_465097-465111_p.csv.gz,10.233,12.139,-4.777,-2.52
GaiaSource_465112-465136_p.csv.gz,10.066,12.27,-4.417,-1.79
GaiaSource_465137-465152_p.csv.gz,9.809,13.669,-6.306,-2.074
GaiaSource_465153-465165_p.csv.gz,11.159,12.611,-6.671,-5.074
GaiaSource_465166-465180_p.csv.gz,11.743,13.34,-7.039,-5.149
GaiaSource_465181-465194_p.csv.gz,11.291,13.477,-6.75,-4.125
GaiaSource_465195-465208_p.csv.gz,11.935,13.614,-6.17,-4.124
GaiaSource_465209-465224_p.csv.gz,12.163,14.494,-7.346,-4.421
GaiaSource_465225-465243_p.csv.gz,13.191,15.078,-7.726,-5.46
GaiaSource_465244-465260_p.csv.gz,13.033,15.213,-7.361,-4.723
GaiaSource_465261-465278_p.csv.gz,13.753,15.49,-6.781,-4.806
GaiaSource_465279-465294_p.csv.gz,11.556,15.405,-6.903,-2.658
GaiaSource_465295-465308_p.csv.gz,12.353,13.878,-5.292,-3.539
GaiaSource_465309-465323_p.csv.gz,11.816,14.007,-4.998,-2.365
GaiaSource_465324-465336_p.csv.gz,12.529,14.136,-4.415,-2.508
GaiaSource_465337-465350_p.csv.gz,12.686,15.026,-5.596,-2.659
GaiaSource_465351-465366_p.csv.gz,13.579,15.471,-6.047,-3.769
GaiaSource_465367-465381_p.csv.gz,13.707,15.813,-5.757,-3.259
GaiaSource_465382-465396_p.csv.gz,13.834,15.513,-5.021,-2.959
GaiaSource_465397-465414_p.csv.gz,8.722,16.147,-6.745,1.179
GaiaSource_465415-465444_p.csv.gz,8.688,11.185,-2.542,0.235
GaiaSource_465445-465494_p.csv.gz,9.087,12.51,-3.394,0.911
GaiaSource_465495-465527_p.csv.gz,10.56,13.13,-2.806,0.13
GaiaSource_465528-465573_p.csv.gz,8.881,13.014,-2.376,2.322
GaiaSource_465574-465614_p.csv.gz,9.547,12.538,-1.052,2.612
GaiaSource_465615-465669_p.csv.gz,10.475,14.907,-3.24,2.061
GaiaSource_465670-465687_p.csv.gz,12.345,14.387,-3.681,-1.33
GaiaSource_465688-465702_p.csv.gz,12.466,14.508,-3.24,-0.889
GaiaSource_465703-465718_p.csv.gz,12.586,14.491,-2.797,-0.517
GaiaSource_465719-465736_p.csv.gz,13.176,15.529,-3.838,-0.888
GaiaSource_465737-465750_p.csv.gz,14.22,15.978,-4.216,-2.002
GaiaSource_465751-465767_p.csv.gz,14.201,16.317,-3.995,-1.486
GaiaSource_465768-465790_p.csv.gz,14.324,16.499,-3.406,-0.974
GaiaSource_465791-465853_p.csv.gz,12.223,16.401,-3.392,1.484
GaiaSource_465854-465894_p.csv.gz,13.805,16.871,-2.665,0.887
GaiaSource_465895-465933_p.csv.gz,11.75,19.59,-7.969,0.882
GaiaSource_465934-465956_p.csv.gz,14.921,17.094,-8.29,-5.646
GaiaSource_465957-465976_p.csv.gz,15.056,17.08,-7.555,-5.204
GaiaSource_465977-466001_p.csv.gz,15.636,18.107,-8.915,-5.661
GaiaSource_466002-466027_p.csv.gz,16.502,18.817,-8.943,-5.989
GaiaSource_466028-466051_p.csv.gz,15.184,19.085,-8.617,-4.199
GaiaSource_466052-466068_p.csv.gz,15.312,16.982,-6.527,-4.464
GaiaSource_466069-466085_p.csv.gz,15.441,17.621,-6.539,-3.88
GaiaSource_466086-466100_p.csv.gz,15.566,17.241,-5.649,-3.58
GaiaSource_466101-466119_p.csv.gz,16.151,18.48,-6.864,-3.9
GaiaSource_466120-466141_p.csv.gz,17.043,19.205,-7.329,-4.898
GaiaSource_466142-466158_p.csv.gz,17.015,19.117,-6.738,-4.219
GaiaSource_466159-466179_p.csv.gz,16.685,20.658,-8.975,-4.393
GaiaSource_466180-466214_p.csv.gz,18.099,20.546,-9.75,-6.95
GaiaSource_466215-466248_p.csv.gz,18.511,21.408,-10.092,-6.375
GaiaSource_466249-466288_p.csv.gz,19.813,22.272,-10.368,-7.324
GaiaSource_466289-466318_p.csv.gz,18.488,22.529,-9.958,-5.214
