filename,l_min,l_max,b_min,b_max
GaiaSource_047324-047557_p.csv.gz,119.328,124.296,-11.579,-6.866
GaiaSource_047558-047770_p.csv.gz,115.932,122.324,-11.604,-4.965
GaiaSource_047771-047944_p.csv.gz,115.253,120.302,-9.182,-4.787
GaiaSource_047945-048099_p.csv.gz,115.718,120.565,-6.89,-2.556
GaiaSource_048100-048267_p.csv.gz,115.408,124.994,-8.473,-1.813
GaiaSource_048268-048417_p.csv.gz,120.348,125.297,-6.152,-2.358
GaiaSource_048418-048542_p.csv.gz,121.944,125.627,-4.496,-0.845
GaiaSource_048543-048681_p.csv.gz,118.582,123.66,-5.458,0.796
GaiaSource_048682-048814_p.csv.gz,116.286,116.922,-3.476,-0.332
GaiaSource_048815-048922_p.csv.gz,116.625,117.221,-1.802,1.145
GaiaSource_048923-049038_p.csv.gz,117.929,121.716,-1.65,2.427
GaiaSource_049039-049162_p.csv.gz,112.763,147.633,-20.034,6.822
GaiaSource_049163-049527_p.csv.gz,141.702,150.867,-15.265,-6.205
GaiaSource_049528-049851_p.csv.gz,138.87,148.867,-14.156,-4.956
GaiaSource_049852-050130_p.csv.gz,138.856,146.036,-10.977,-4.267
GaiaSource_050131-050376_p.csv.gz,140.119,149.87,-9.943,-0.689
GaiaSource_050377-050654_p.csv.gz,142.626,150.236,-4.918,2.595
GaiaSource_050655-050902_p.csv.gz,139.601,149.366,-6.655,2.684
GaiaSource_050903-051194_p.csv.gz,139.2,146.992,-3.37,4.452
GaiaSource_051195-051461_p.csv.gz,133.475,149.361,-12.22,3.902
GaiaSource_051462-051672_p.csv.gz,136.364,142.322,-8.29,-2.273
GaiaSource_051673-051878_p.csv.gz,132.423,141.124,-10.053,-1.874
GaiaSource_051879-052055_p.csv.gz,132.0,139.055,-7.558,-1.901
GaiaSource_052056-052208_p.csv.gz,132.82,137.964,-5.278,-0.292
GaiaSource_052209-052434_p.csv.gz,133.715,143.108,-6.293,2.412
GaiaSource_052435-052636_p.csv.gz,136.554,143.686,-1.772,4.982
GaiaSource_052637-052821_p.csv.gz,134.139,142.842,-2.732,5.709
GaiaSource_052822-052987_p.csv.gz,133.195,138.736,-1.822,3.678
GaiaSource_052988-053152_p.csv.gz,133.896,140.269,0.234,6.46
GaiaSource_053153-053326_p.csv.gz,133.501,149.952,-5.224,11.224
GaiaSource_053327-053509_p.csv.gz,143.214,150.065,1.199,7.992
GaiaSource_053510-053785_p.csv.gz,141.052,150.756,2.139,11.741
GaiaSource_053786-053992_p.csv.gz,140.598,146.907,1.948,8.242
GaiaSource_053993-054357_p.csv.gz,139.275,150.748,4.628,16.238
GaiaSource_054358-054882_p.csv.gz,140.46,151.743,9.692,20.928
GaiaSource_054883-055358_p.csv.gz,134.29,153.2,3.246,21.991
GaiaSource_055359-055654_p.csv.gz,136.627,145.787,3.952,12.739
GaiaSource_055655-055982_p.csv.gz,133.861,144.443,4.08,14.035
GaiaSource_055983-056374_p.csv.gz,132.698,143.593,6.922,17.235
GaiaSource_056375-056973_p.csv.gz,134.342,145.921,11.568,23.014
GaiaSource_056974-057430_p.csv.gz,125.976,158.909,-7.546,23.961
GaiaSource_057431-057578_p.csv.gz,128.813,133.79,-6.391,-1.722
GaiaSource_057579-057731_p.csv.gz,129.014,135.167,-4.758,0.993
GaiaSource_057732-057872_p.csv.gz,127.461,133.715,-5.027,1.983
GaiaSource_057873-057993_p.csv.gz,126.372,130.351,-4.486,-0.209
GaiaSource_057994-058131_p.csv.gz,125.232,130.575,-3.271,1.368
GaiaSource_058132-058261_p.csv.gz,126.755,131.094,-1.371,3.03
GaiaSource_058262-058417_p.csv.gz,125.791,134.973,-2.231,5.48
GaiaSource_058418-058547_p.csv.gz,130.119,135.319,0.143,4.448
GaiaSource_058548-058704_p.csv.gz,130.055,136.312,1.695,6.507
GaiaSource_058705-058908_p.csv.gz,128.347,136.718,1.404,9.316
GaiaSource_058909-059070_p.csv.gz,126.561,131.867,1.649,6.319
GaiaSource_059071-059307_p.csv.gz,126.532,132.955,3.947,9.693
GaiaSource_059308-059485_p.csv.gz,123.35,133.461,-2.426,10.619
GaiaSource_059486-059612_p.csv.gz,121.59,125.581,-0.889,2.552
GaiaSource_059613-059764_p.csv.gz,121.923,127.218,0.615,4.595
GaiaSource_059765-059930_p.csv.gz,120.641,126.251,0.675,6.691
GaiaSource_059931-060160_p.csv.gz,117.371,122.391,1.341,6.998
GaiaSource_060161-060361_p.csv.gz,117.854,122.927,3.763,8.451
GaiaSource_060362-060555_p.csv.gz,117.818,128.036,4.092,9.899
GaiaSource_060556-060768_p.csv.gz,122.936,129.115,5.81,10.919
GaiaSource_060769-061006_p.csv.gz,120.84,128.019,6.653,12.885
GaiaSource_061007-061279_p.csv.gz,118.712,124.612,8.107,13.51
GaiaSource_061280-061679_p.csv.gz,117.819,137.497,4.097,17.764
GaiaSource_061680-062087_p.csv.gz,128.203,138.213,7.72,16.723
GaiaSource_062088-062587_p.csv.gz,126.505,139.632,9.149,20.713
GaiaSource_062588-063327_p.csv.gz,127.495,139.982,13.225,25.07
GaiaSource_063328-063878_p.csv.gz,123.499,141.478,9.585,25.679
GaiaSource_063879-064444_p.csv.gz,119.624,121.202,12.818,19.977
GaiaSource_064445-065281_p.csv.gz,120.245,135.429,15.697,26.44
GaiaSource_065282-066955_p.csv.gz,96.36,236.204,-60.167,37.68
GaiaSource_066956-068628_p.csv.gz,208.847,230.135,20.772,43.64
GaiaSource_068629-071195_p.csv.gz,203.041,233.827,27.911,57.514
GaiaSource_073888-075228_p.csv.gz,199.958,217.16,18.684,37.248
GaiaSource_075229-076419_p.csv.gz,194.764,212.978,15.914,36.789
GaiaSource_076420-077686_p.csv.gz,190.898,206.885,16.641,34.408
GaiaSource_077687-080127_p.csv.gz,185.328,212.797,24.367,49.686
GaiaSource_080128-082787_p.csv.gz,174.113,222.177,26.837,61.696
GaiaSource_082788-086703_p.csv.gz,164.171,217.251,48.235,73.155
GaiaSource_086704-090620_p.csv.gz,138.566,196.909,45.077,78.345
GaiaSource_090621-093880_p.csv.gz,161.106,193.645,40.189,58.963
GaiaSource_093881-097402_p.csv.gz,134.147,179.603,42.565,71.898
GaiaSource_097403-098884_p.csv.gz,130.895,243.164,13.385,75.945
GaiaSource_098885-099873_p.csv.gz,184.453,199.607,13.765,30.89
GaiaSource_099874-100751_p.csv.gz,180.745,197.265,11.954,29.339
GaiaSource_100752-101392_p.csv.gz,179.826,191.999,10.777,23.436
GaiaSource_101393-102417_p.csv.gz,175.5,192.594,16.393,33.485
GaiaSource_102418-104416_p.csv.gz,171.687,194.261,25.748,40.989
GaiaSource_104417-106070_p.csv.gz,166.619,186.972,22.79,37.208
GaiaSource_106071-106913_p.csv.gz,160.976,192.539,9.724,34.238
GaiaSource_106914-107444_p.csv.gz,173.708,183.963,8.803,18.981
GaiaSource_107445-108275_p.csv.gz,170.303,183.195,12.668,25.316
GaiaSource_108276-108847_p.csv.gz,165.495,181.927,8.047,23.118
GaiaSource_108848-109292_p.csv.gz,167.459,176.944,7.5,17.736
GaiaSource_109293-109810_p.csv.gz,164.627,174.161,8.998,19.302
GaiaSource_109811-110424_p.csv.gz,161.435,171.255,10.509,20.935
GaiaSource_110425-111409_p.csv.gz,158.935,177.434,9.006,29.052
GaiaSource_111410-112700_p.csv.gz,155.066,170.974,18.063,31.719
